TOWN,PCODE
"LUSHOF, Tzaneen",0850
"LUSIKISIKI (Serviced by DUR)(Mon,Wed,Fri)",4820
"LUSIKISIKI (Serviced by DUR)(Mon,Wed,Fri)",4820
LUTZVILLE,8165
LUXEMBOURG,Z005
"LWAMONDO, Polokwane",0985
"LWANDLE, Strand",7140
LYDENBURG (MASHISHING),1120
"LYDIANA, Pretoria",0184
"LYME PARK & Ext/Uit,",2060
"LYME PARK Ext/Uit 2 - 4,",2060
"LYNCHFIELD, Bloemfontein",9364
LYNDHURST Boxes,2106
"LYNDHURST, Johannesburg",2192
"LYNDHURST, Kimberley",8301
LYNEDOCH,7603
"LYNFIELD PARK, Pietermarizburg",3201
"LYNFRAE Est/Lgd, Newlands",7700
"LYNHURST PARK, Pinetown",3610
LYNN EAST,0040
LYNN EAST Boxes,0039
"LYNNRODENE, Pretoria",0081
"LYNNVILLE, Witbank/ Emalahleni",1035
"LYNNWOOD GLEN, Pretoria",0081
"LYNNWOOD MANOR, Pretoria",0081
"LYNNWOOD PARK, Pretoria",0081
LYNNWOOD RIDGE Boxes,0040
"LYNNWOOD RIDGE, Pretoria",0081
"LYNNWOOD, Pretoria",0081
"LYNNWOOD, Table View",7441
LYNNWOODRIF Busse,0040
"LYNNWOODRIF, Pretoria",0081
"LYNROY, Pietermaritzburg",3201
LYTTELTON MANOR & Ext/Uit,0157
"LYTTELTON, Verwoerdburg",0157
"Laboria, Polokwane",0700
"MAAKE (Mon,Wed,Fri Only)",0871
MAANDAGSHOEK,1152
MAANHAARRAND,2809
MAASSTROOM (Special Trip & Add Charges Apply),0623
"MABALIA, Alrode",1449
"MABATLANE (VAALWATER) (Mon, Wed & Fri Only)",0530
"MABILLE PARK, Kuilsrivier",7580
MABOKE (CASTEEL) (Wednesday & Friday Only),1280
MABOPANE,9998
"MABULE VILLAGE, Mahikeng",2745
"MABUYA PARK, Rusloo",1468
MACASSAR Boxes,7134
"MACASSAR, Somerset West",7130
MACAU,Z007
MACEDONIA,Z008
MACHADODORP (ENTOKOZWENI) (Tues. & Thurs Only),1170
"MACHIBISA, Edendale",3217
MACKENZIE PARK & Ext/Uit,1501
"MACKENZIEVILLE, Nigel",1490
MACLEANTOWN (Special Trip),5280
"MACLEANVILLE, Port Elizabeth/ Gqeberha",6001
MACLEAR (NQANQARHU) (48 Hours),5480
MADADENI,2951
MADAGASCAR - Antanarivo,Z007
MADAGASCAR - Other Areas,Z008
"MADIBENG, North West",0250
MADIBOGO (Wednesday Only),2772
MADIKWE,2840
MADISHA DITORO VILLAGE,0631
MAFATSANA,1981
MAFEFE,0770
MAFIKENG (MAHIKENG),9997
"MAGALIES VIEW Ext 4 & 15,",2067
"MAGALIES VIEW, Bryanston",2067
MAGALIESBURG,2805
MAGALIESBURG (Serviced out Of RTB),2805
"MAGALIESKRUIN, Pretoria",0150
"MAGALIESMOOT AH, Pretoria",0030
"MAGALIESSIG, Fourways, Johannesburg",2067
"MAGALIESSIG, Fourways, Johannesburg",2067
MAGATLE,0631
"MAGAZULU PARK, Empangeni",3880
MAGELEMBE,0466
MAGGIESDAL,1132
"MAGHEIGHTS, Katlehong",1832
"MAGNA VIA, Polokwane",0699
"MAGOBADING, Burgersfort",1129
MAGOEBASKLOOF (Tuesdays's & Thursday's Only),0731
MAGOGONG,8575
MAGOJANENG,8460
"MAHEANE, Kuruman",8460
MAHIKENG (MAFIKENG),9997
MAHLABATINI,3865
"MAHOGANY RIDGE, Pinetown",3608
"MAHUBE VALLEY, Mamelodi East",0122
MAHUSHU,1253
MAHWELERENG,0626
MAIDSTONE,4380
"MAILULU, Rusloo",1468
"MAIN STREET, PAARL",7622
MAITLAND,7405
MAJA,0719
"MAJEMANTSHO, Mafikeng",2745
MAKADIKWE,1062
MAKAPANSTAD (Friday's Only),0404
"MAKGOFE, Polokwane",0751
"MAKGOLOKOENG, Harrismith",9880
MAKHADO (LOUIS TRICHARDT),0920
"MAKHADO, LOUIS TRICHARDT",0920
MAKHANDA (GRAHAMSTOWN),6141
"MAKHAYA, Khayelitsha",7784
"MAKHAZA, Khayelitsha",7784
"MAKHUSHANE  (Mon,Wed & Frid Only)",1390
"MAKHWENKE, Port Elizabeth/Gqeberha",6001
"MAKHWIBIDUNG VILLAGE, Tzaneen",0873
MAKOKSKRAAL,2712
MAKONDE (Monday Only),0984
MAKOPPA,0381
MAKOTOPONG,0723
MAKWARELA,0950
MAKWASSIE (Tues & Thurs Only),2650
"MALABAR, Port Elizabeth",6020
"MALAGAS (Monday's, Wednesday & Friday)",6740
"MALAGAS PARK, Milnerton",7441
MALAMALA ( On Request),1353
MALAMULELE,0982
"MALAN, Wellington",7655
MALANSHOF & Ext/Uit 1 - 8,2194
MALATANE  (Tuesday & Thursday Only),0604
MALAWI - Blantyre,Z003
MALAWI - Lilongwe,Z003
MALAWI - Other Areas,Z004
MALAYSIA - Kuala Lumpur,Z006
MALAYSIA - Other Areas,Z007
"MALDIVES, REPUBLIC OF",Z008
MALEKUTU,1240
MALELANE,1320
"MALEMATI, Polokwane",0736
MALETSWA,9750
"MALGAS ( Monday's, Wednesday & Friday)",6740
MALI - Bomako,Z008
MALI - Other Areas,Z008
"MALIBU VILLAGE, Eersterivier",7100
MALMESBURY,7300
"MALOKELA, Burgersford",1150
MALTA,Z005
"MALUKAZI, Isipingo",4110
"MALUNGA PARK, Guguletu",7750
MALUTI (Freight Dependant),4740
"MALVERN EAST Ext 1 & 3,",2008
"MALVERN EAST Ext, Bedfordview",2008
"MALVERN EAST, Primrose",1401
"MALVERN, Johannesburg",2094
"MALVERN, N Boxes",4055
"MALVERN, Queensburgh",4093
"MALVERN-OOS Uit 1 & 3,",2008
"MALVERN-OOS Uit, Bedfordview",2008
"MALVERN-OOS, Primrose",1401
MAMAILA,0835
MAMELODI Boxes (Mon & Thurs),0101
"MAMELODI EAST, Pretoria",0122
"MAMELODI GARDENS, Pretoria",0122
MAMELODI Streets,0122
"MAMELODI TUINE, Pretoria",0122
"MAMELODI WEST, Pretoria",0122
"MAMELODI-OOS, Pretoria",0122
"MAMELODI-WES, Pretoria",0122
"MAMOGALESKRAAL, Brits",0250
MAMOGAUSKRAAL,0265
MAMOTINTANE,0727
MAMRE,7347
MANABA BEACH,4276
"MANCORP MINE (Monday,Tuesday,Thursday & Friday)",8423
"MANDALAY, Mitchells Plain",7785
MANDINI,4490
MANDLAMAKHULU,2338
MANDLAZINI,3880
MANENBERG Boxes,7767
MANENBERG Streets,7764
MANGANENG,1127
MANGAUNG,9307
MANGENI (Monday & Thursday Only),3012
"MANGOLD PARK, Port Elizabeth",6070
MANGUZI (Wednesday's Only),3973
MANKURWANE,8345
MANKWENG,0727
MANLEY FLATS,6145
"MANOR GARDENS, Durban",4001
"MANOR, Pietermaritzburg",3201
"MANORS, Pinetown",3610
"MANTEVREDE, Vanderbijlpark",1911
"MANTHESTAD, Taung",8585
"MANUFACTA, Roodepoort",1724
MANYANDENI,2381
"MANYATSENG, Ladybrand",9745
MANYELETI (48 Hours Only),1362
"MANZIL PARK, Klerksdorp",2570
MANZINI,3815
"MAOKENG, Kroonstad",9499
MAPELA (Tuesdays Only),0610
"MAPETLA & Ext/Uit, Tshiawelo",1818
"MAPETLA EAST, Tshiawelo",1818
"MAPETLA-OOS, Tshiawelo",1818
MAPHANG,1270
MAPHUMULO,4470
"MAPLETON EXT 12, Rusloo",1468
MAPOTLA,0472
MARA,0934
"MARABASTAD, Pretoria",0002
"MARAFE, kwaXuma",1868
"MARAIS STEYN PARK, Edenvale",1609
"MARAIS Tsp/Dgd, Port Elizabeth/ Gqeberha",6001
MARAISBURG Boxes,1700
"MARAISBURG, Florida",1709
MARAPONG,0553
MARAPYANE (Special Trip & Add Charges Apply),0410
"MARAPYANE, SKILPADFONTEIN (Special Trip & Add Char",0410
"MARATENG, Postmasburg",8420
MARBLE HALL,0450
MARBLE RAY,4035
"MARBURG, Port Shepstone",4240
"MARCHAND  (Monday, Wednesday & Friday)",8873
"MARCHANTDALE, Port Elizabeth",6025
"MARCONI BEAM, Milnerton",7441
"MAREETSANE, North West (Wednesday Only)",8672
MARGATE,4275
MARHOLENI (Tues & Thurs Only),0960
"MARIANN RIDGE, Pinetown",3610
MARIANNHILL Boxes,3601
"MARIANNHILL PARK, Pinetown",3610
"MARIANNHILL, Pinetown",3610
"MARIANNRIF, Nagina",3604
"MARIANNRIF, Pinetown",3610
MARIEPSKOP (Tuesday & Thursday Only),1383
MARIKANA,0284
"MARIMBA GARDENS, Rusloo",1468
MARINA BEACH,4281
"MARINA DA GAMA, Muizenberg",7945
"MARINA Est/Lgd, Retreat",7785
"MARINA Est/Lgd, Somerset west",7130
"MARINA MOORINGS, Muizenberg",7945
"MARINDA PARK, Kuilsrivier",7580
"MARINE PARADE, DURBAN Box",4056
"MARINE PARADE, Durban",4001
"MARINO HEIGHTS, Durban",4001
MARISHANE,1064
"MARISTER, Benoni",1623
MARITE (Monday Only),1284
"MARIVENI, Limpopo",0850
MARKEN,0605
"MARKET SQUARE, GRAHAMSTOWN/ Makhanda",6141
"MARKET SQUARE, Kimberley",8301
"MARKET SQUARE, Kingwilliams/ Qonce",5600
"MARKMAN Tsp/Dgd, Port Elizabeth",6210
"MARKPLEIN, GRAHAMSTAD/ Makhanda",6141
"MARKPLEIN, Kimberley",8301
"MARKPLEIN, Kingwilliams/ Qonce",5600
"MARLANDS, Primrose",1401
MARLBORO,2063
MARLBORO Boxes,2063
"MARLBORO Ext/Uit 1, Johannesburg",2090
"MARLBORO GARDENS, Marlboro",2063
"MARLBORO TUINE, Marlboro",2063
"MARLBOROUGH PARK, Brackenfell",7560
"MARLBOROUGH PARK, Durban",4052
"MARLBOROUGH PARK, Rondebosch",7700
MARLOTH PARK,1340
MARNITZ,0620
"MAROELADAL, Fourways",2191
"MAROELANA, Pretoria",0081
MAROELASFONTEIN,0360
MAROKOLONG,0400
MAROTENG,0626
MARQUARD (Mon & Thurs Only),9610
"MARSEILLES (Monday,Wednesday & Friday)",9747
MARSHALL ISLANDS,Z009
MARSHALLTOWN Boxes,2107
"MARSHALLTOWN, Johannesburg",2001
"MARTIN'S VILLA, Somerset West",7130
MARTINDALE Cape Town,6146
"MARTINDALE, Johannesburg",2092
MARTINIQUE,Z009
MARULANENG,1067
"MARVELLO PARK, Bellville",7530
"MARVIN PARK, Somerset West",7130
MARYDALE  (Thursday Only),8910
"MARYVALE, Johannesburg",2192
MASEKE,1390
MASEMOLA,1060
"MASERU, LESOTHO",Z400
"MASHAENG, Fouriesburg",9725
"MASHAMOTHANE, Burgersfort ( Mon & Wednesday Only)",1150
MASHASHANE (Wednesday Only),0743
"MASHIFANE PARK, Burgersfort",1150
"MASHISHIMALE  (Mon,Wed & Frid Only)",1395
MASHISHING (LYDENBURG),1120
MASIA (Tuesday Only),0944
MASIBEKELA (Wednesday 7 Friday Only),1342
"MASILO, Theunissen",9410
"MASIONS MILL, Pietermaritzburg",3201
MASIPHUMELELE,7975
MASOBE,0414
MASOBYE,0414
MASODI (Tuesday's & Thursday's Only),0646
MASOHENG,1908
"MASONS MILL, Pietermaritzburg",3201
"MASOYI, Hazyview",1242
MATAFFIN,1205
MATALDI VILLAGE,0555
"MATALENG, Barkly West (Monday,Wednesday & Friday)",8375
"MATATIELE (Monday,Wednesday & Friday)",4730
MATCO,2275
MATHABATHA (Monday Only),0733
MATHIBASKRAAL,0734
MATHIBESTAD,0418
MATHIPANE,0870
MATHULE,0945
MATIBIDI (Thursday Only),1274
MATIKO XIKAYA-A,6245
MATIMBA,0558
"MATIMBA POWER STATION, Ellisras (Lephalale)",0555
"MATJIES RIVER ( Monday, Wednesday & Friday only)",6634
MATJIESFONTEIN (Tuesday Only),6901
"MATJIESRIVIER ( Monday, Wednesday & Friday only)",6634
"MATLA ( Monday,Wednesday & Friday)",2274
MATLALA,0634
MATLOSANE,2575
MATOKS,0800
"MATOLA FARM, Pinetown",3610
MATOOSTER,0316
MATROOSFONTEIN,7490
"MATSAMO ( Monday, Wednesday & Friday Only)",1331
MATSULU,1203
MATSWALE,0900
MATTHYS ZYN LOOP,0458
"MAUBANE ( Monday's, Wednesday, Friday)",0412
MAURITANIA - Nauakchott,Z008
MAURITANIA - Other Areas,Z008
MAURITIUS - Other Areas,Z003
MAURITIUS - Port Louis,Z004
MAVHUNDA,0920
"MAX GOODMAN PARK, Johannesburg",2094
MAXAKENI (Wednesday Only),1283
"MAXIPAK, Edenvale",A019
"MAXMEAD, Pinetown",3610
MAYBERRY PARK & Ext/Uit 1,1449
MAYDON WHARF Boxes,4057
"MAYDON WHARF, Durban",4001
MAYDONKAAI Busse,4057
"MAYDONKAAI, Durban",4001
"MAYFAIR NORTH, Johannesburg",2092
"MAYFAIR WEST, Johannesburg",2092
"MAYFAIR, JOHANNESBURG Box",2108
"MAYFAIR, Johannesburg",2092
"MAYFAIR-NOORD, Johannesburg",2092
"MAYFAIR-WES, Johannesburg",2092
"MAYFIELD PARK, Johannesburg",2091
MAYFLOWER (Thursday's Only),2339
"MAYNARDVILLE, Wynberg",7800
MAYOR'S WALK Boxes,3208
"MAYOR'S WALK, Pietermaritzburg",3201
MAYVILLE Boxes,4058
"MAYVILLE, Durban",4091
"MAYVILLE, Durban",4091
"MAYVILLE, Pretoria",0084
MAZENZELE,2624
MAZEPPA BAY,4960
MBAZWANA,3974
MBEKWENI,7626
MBOMBELA (NELSPRUIT),1200
MBONGOLWANE,3820
"MBUQE PARK, Mthatha",5100
MCE JOHANNESBURG,A020
MCE PRETORIA,A021
MDANTSANE,5219
"MEADOW Est/Lgd, Rondebosch",7700
"MEADOWBROOK, Edenvale",1609
"MEADOWDALE, GERMISTON",1401
"MEADOWHURST, Jukskeipark",2153
MEADOWLANDS Boxes,1851
"MEADOWLANDS Ext/Uit, Meadlands",1852
MEADOWLANDS Streets,1852
"MEADOWRIDGE, Plumstead",7800
MEDICO,9319
MEDUNSA,0204
"MEDUPI POWER STATION, Ellisras (Lephalale)",0555
MEER EN SEE Boxes,3901
"MEER EN SEE, Richards Bay",3901
"MEERENDAL Est/Lgd, Retreat",7785
"MEERHOF, Hartbeespoort",0216
MEERLUS (Wednesday Only),1090
"MEEWAN FARMS, Tarkastad",5370
"MEGAWATT PARK, Sunninghill",2157
MEHLARENG,0626
MEHLOMNYAMA,4246
"MEIRINGSPARK, Klerksdorp",2570
"MEIRINGSPARK, Worcester",6850
"MEISIES HALT, East London",5201
MELK RIVER (Wednesday's Only),0541
MELKBOSSTRAND,7441
MELKBOSSTRAND Boxes,7437
MELKRIVIER  (Wednesday's Only),0541
MELMOTH,3835
"MELODIE, Hartbeespoort",0216
"MELODIE, Hartbeespoort",0216
"MELODING, Virginia",9430
MELON,6365
"MELOPARK, Lansdowne",7780
"MELROSE ESTATE, Johannesburg",2196
"MELROSE GARDENS, Johannesburg",2196
"MELROSE NORTH, Johannesburg",2196
"MELROSE, Johannesburg",2196
"MELROSE-NOORD, Johannesburg",2196
MELTON ROSE Boxes,7101
"MELTON ROSE, Eersterivier",7100
"MELTONWOLD (Monday, Wednesday & Friday)",7071
MELVILLE Boxes,2109
"MELVILLE, Johannesburg",2092
"MELVILLE, Stanger/ KwaDukuza",4450
MEMEL (Special Trip)( Wednesday),2970
"MENKENKOP, Mosselbay",6500
MENLO PARK Boxes,0102
"MENLO PARK, Pretoria",0081
"MENLYN, Pretoria",0181
"MENTE VREDE, Vanderbijlpark",1911
MENTZ,0729
"MEQHELENG, Ficksburg",9725
MERAFONG Boxes,9483
"MERAFONG, Odendaalsrus",9480
MEREBANK Boxes,4059
"MEREBANK, Durban",4052
"MEREDALE & Ext/Uit 2 & 4,",2091
MERENCOR,8465
"MEREWENT, Durban",4052
"MERRIESPRUIT, Virginia",9433
"MERRIESPRUIT, Virginia",9430
MERRIMAN (Special Trip),7011
MERRIVALE,3291
"MERROW DOWN, Bryanston",2021
"MERRYDALE PARK, Mitchells Plain",7785
"MERRYDALE, Mitchells Plain",7785
MERWEVILLE (Monday & Thursday),6940
MESSINA (MUSINA),0900
"METRO Tsp/Dgd, Paardeneiland",7405
METSIMATSHO (Frieght Dependant),9873
"METZ (Mon,Wed,Fri Only)",0891
"MEULSTRAAT, KAAPSTAD",8010
MEXICO - Mexico City,Z007
MEXICO - Other Areas,Z008
"MEYERHOF, Bellville",7530
"MEYERHOF, Bothaville",9660
"MEYERSDAL, Alberton",1449
"MEYERSPARK & Ext/Uit 8,",0184
MEYERSPARK Boxes,0103
MEYERTON,1960
"MEYERTON PARK, Meyerton",1960
"MEYERVILLE, Standerton",2430
MFOLOZI,3925
"MFULENI, Cape Town",7100
MFUME,4160
MGWALI,4934
MHINGA,0976
MHLATI FARM,1320
MHLUNGWANE (Wednesday Only),3121
"MHLUZI, Middelburg",1053
"MHLUZI, Middelburg (Tvl)",1050
MICA,1382
MICHAUSDAL Boxes,5884
"MICHAUSDAL, Cradock",5880
"MICOR, Johannesburg",2092
MICRONESIA,Z009
MID ILLOVO,3750
"MID-ENNERDALE, Odin Park",1825
MIDDELBURG - MPUMALANGA,1050
MIDDELBURG EC (Serviced by BFN),5900
MIDDELBURG EC (Serviced by PLZ),5900
"MIDDELBURG SOUTH, MPUMALANGA",1050
"MIDDELBURG-SUID, MPUMALANGA",1050
MIDDELPLAAS,6630
"MIDDELPOS, Cape Town",8193
"MIDDELPOS, Upington",8801
MIDDLEDRIFT (Special Trip) (Freight permitting),5685
"MIDDLETON ( Twice a week, Freight Permitting)",5810
"MIDDLETON, Caledon",7230
"MIDHURST Est/Lgd, Constantia",7800
MIDLANDS,3300
MIDRAND,1685
"MIDROS, Middelburg",5900
"MIDSTREAM, Halfway House",1692
MIDVAAL,1945
"MIDWAY, Bloemfontein",9326
"MIEDERPARK, Potchefstroom",2531
"MIEDERPARK, Potchefstroom",2527
MIER (Monday Only),8811
MIGDOL,2775
"MIKRO PARK, Kuilsrivier",7580
"MILAN PARK, Bethal",2310
"MILL HILL & Ext/Uit,",2060
"MILL PARK, Port Elizabeth/ Gqeberha",6001
"MILL STREET, CAPE TOWN",8010
"MILLARD GRANGE, Port Elizabeth/ Gqeberha",6001
MILLER,6682
"MILLERS POINT, Simonstown",7995
"MILLSITE, Robinson (Tvl)",1761
MILNAVAIR Boxes,7396
"MILNAVAIR, Saldanha Bay",7395
"MILNER Est/Lgd, East London",5201
"MILNER Est/Lgd, Lansdowne",7780
MILNERTON,7441
MILNERTON Boxes,7435
MILNERTON Streets,7441
"MIMOSA PARK, Elsburg",1407
"MIMOSA, Bellville",7530
"MINDALORE NORTH, Krugersdorp",1739
"MINDALORE, Krugersdorp",1739
"MINDALORE-NOORD, Krugersdorp",1739
"MINERALIA, Middelburg",1050
"MINERVA PARK, East London",5247
MINNEBRON Boxes,1549
"MINNEBRON, Brakpan",1549
"MINT VILLAGE, Kimberley",8301
"MIRAMAR, Port Elizabeth",6070
MISGUND,6440
"MISSIONVALE, Port Elizabeth",6020
"MITCHELL STREET, PRETORIA",0104
MITCHELLS PLAIN,7785
"MITCHELLSTRAAT, PRETORIA",0104
"MIXBOX AUTOMOTIVE, JOHANNESBURG",A022
MKHONDO ( PIET RETIEF),2380
MKHUHLU (Monday's Only),1246
"MKONDENI, Pietermaritzburg",3201
MKONJANE (Tuesday & Thursday),3007
MKUZE,3965
MLAMBO,3975
MLUNGISI (Special Trip),5321
MMABATHO,2735
"MMAFEFE  (Mon,Wed & Frid Only)",0738
MMAKAU,0208
MMAMETLHAKE,0431
"MMOTONG, Polokwane",0742
MMOTWANENG,1059
"MNANDI, Somerset East",5850
"MNANDI, Wierdapark",0149
"MNATO, Ntokozweni",4066
MOBENI,4052
MOBENI Boxes,4060
"MOBENI HEIGHTS, Durban",4092
"MOBENI, Durban",4052
"MODDER EAST ORCHARDS, Delmas",2210
"MODDER EAST, Springs",1559
MODDER RIVER,8700
"MODDER-OOS, Springs",1559
"MODDERBEE, Benoni",1501
"MODDERDAM, Lavistown",7490
MODDERFONTEIN,1645
"MODDERFONTEIN SlHs/Khw,",2065
MODDERPOORT  (Special Only),9746
MODDERRIVIER,8700
MODDERSPRUIT,0274
"MODEL VILLAGE, Johannesburg",2091
"MODELKLOOF, Ladysmith",3370
"MODELPARK, Witbank/ Emalahleni",1035
MODIMOLLE (NYLSTROOM),0510
MODJADJI (Tues & Thurs Only),0837
MODJADJISKLOOF(DUIWELSKLOOF) (Tues & Thurs Only),0835
MOEDWIL,0315
"MOEMANENG, Marquard",9610
"MOETLADIMO (Mon,Wed,Fri Only)",0891
"MOFFAT VIEW, Johannesburg",2197
"MOFOLO CENTRAL, Meadowlands",1852
"MOFOLO NORTH, Meadowlands",1852
"MOFOLO SOUTH, Meadowlands",1852
"MOFOLO VILLAGE, Meadowlands",1852
"MOFOLO-NOORD, Meadowlands",1852
"MOFOLO-SUID, Meadowlands",1852
"MOGALE, Krugersdorp",1739
MOGANYAKA,0459
"MOGAUNG, Groblersdal ( Tuesdays & Thursdays Only)",0470
"MOGHUL PARK, Kimberley",8301
MOGODUMO,0735
MOGOJANENG,8577
"MOGOTO VILLAGE, Zebediela",0627
"MOGUL PARK, Kimberley",8301
MOGWADI (DENDRON) (Tuesday & Thursday Only),0715
MOGWASE,0302
"MOHADIN, Potchefstroom",2520
MOHLAKENG,1766
MOHLALETSI,1124
"MOIKOTSO, Lichtenburg",2740
"MOJUTENG, Witbank/Emalahleni",1035
MOKODUMELA,9868
MOKOPANE (POTGIETERSRUS),0601
MOKOPANE (POTGIETERSRUS),0600
MOKWAKWAILA,0862
"MOLAPO & Ext/Uit, Tshiawelo",1818
"MOLAPO VILLAGE, Tshiawelo",1818
MOLDOVA,Z008
MOLEN DRIFT,6537
"MOLENVLIET, Mowbray",7700
MOLETJIE,0707
MOLETLANE,0697
"MOLETSANE, kwaXuma",1868
MOLOPO RIVER,8680
MOLOPORIVIER,8680
MOLOTO,1022
MOLOTOTSI ((Tuesdays & Thursdays Only),0827
MOLSVLEI,8202
MOLTENO ( Monday's & Thursday Only),5500
MON LE SEUR FARM,4420
"MON REPOS, Durbanville",7550
MONACO - Monte Carlo,Z007
"MONAKATO, Rustenburg",0300
"MONAVONI, Wierdapark",0149
"MONCHANEL FARM, Stellenbosch",7600
MONDEOR Boxes,2110
"MONDEOR, Johannesburg",2091
MONGOLIA,Z009
MONSERRAT,Z009
MONSTERLUS (Tuesdays & Thursdays Only),1088
MONT-AUX-SOURCES (Freight Dependant),3353
MONTAGU ( Tuesday & Thursday Only),6720
"MONTAGU Est/Lgd, Grassy Park",7785
"MONTAGU GIFTS Est/Lgd,",7945
MONTAGUE GARDEN,7441
"MONTAGUE GARDENS, Milnerton",7441
"MONTAGUE TUINE, Milnerton",7441
"MONTANA, De Aar",7000
"MONTANA, Matroosfontein",7490
"MONTANA, Pretoria",0151
MONTANAPARK,0151
MONTCLAIR Boxes,4061
"MONTCLAIR, Durban",4011
"MONTCLAIR, Johannesburg",2092
"MONTCLAIR, Mitchells Plain",7785
"MONTCLAIR, Somerset West",7130
"MONTE VIDEO, Matroosfontein",7490
MONTE VISTA Boxes,7461
MONTE VISTA Streets,7460
"MONTEREY Est/Lgd, Constantia",7800
"MONTFORD, Chatsworth",4092
"MONTGOMERY PARK, Johannesburg",2195
"MONTPARK, Johannesburg",2195
"MONTROSE Est/Lgd, Plumstead",7800
"MONTROSE, Harrismith (Serviced out of Bethlehem)",9595
"MONTROSE, Pietermaritzburg",3201
"MONTROUX, Johannesburg",2195
MONTSHIWA,2737
"MONUMENT HEIGHTS, Kimberley",8301
"MONUMENT, Krugersdorp",1739
MONUMENTPARK & Ext/Uit 2,0181
MONUMENTPARK Boxes,0105
MONZI,3973
"MOODIEHILL, Morningside",2057
"MOOI RIVER, KZN",3300
"MOOIBANK, Potchefstroom",2520
"MOOIGEZIGHT, Bellville",7530
"MOOIKLOOF RIDGE, Pretoria",0081
"MOOIKLOOF, Pretoria",0081
MOOINOOI,0325
MOOIPLAAS,5288
MOOIPLAATS,0036
"MOOIRIVER MALL, Potchefstroom",2520
"MOOIRIVIER, KZN",3300
"MOOIVALLEIPARK, Potchefstroon",2520
"MOOIVERWACHT, Bellville",7530
MOOKETSI (Tues & Thurs Only),0825
MOOKGOPONG (NABOOMSPRUIT),0560
"MOOLENBERG Est/Lgd, Rondebosch",7700
MOOLMAN (Thursday Only),2387
MOORREESBURG,7310
"MOORTON, Chatsworth",4092
"MOPANE (Mon,Wed,Fri Only)",0925
MOPHELONG,1911
MORAVIA,7322
MOREBENG (SOEKMEKAAR)(Mon;Wed;Fri Only),0810
MOREBENG(SOEKMEKAAR)(Mon;Wed;Fri Only),0810
"MOREGLOED, Pietersburg",0699
"MOREGLOED, Pretoria",0186
"MOREGROVE, Port Elizabeth",6025
"MOREHILL & Ext/Uit 2,",1501
"MORELETAPARK, Pretoria",0044
"MORELIG, Bethlehem",9700
MORESKOF Boxes,9462
"MORESKOF, Welkom",9459
"MORET, Randburg",2194
"MOREWAG, Kroonstad",9499
MORGAN'S BAY (Tuesday's & Friday's Only),5292
"MORGANRIDGE & Ext/Uit 2,",1459
MORGANSBAAI (Tuesday's & Friday Only),5292
"MORGENSTER, Brackenfell",7560
"MORGENSTER, Mitchells Plain",7785
MORGENZON (Mondays Only),2315
MORGENZON HEIGHTS Brackenfell,7560
"MORNING HILL, Bedfordview",2008
"MORNINGSIDE HILLS, Morningside",2057
"MORNINGSIDE MANOR,",2052
"MORNINGSIDE SUMMIT, Morningside",2057
"MORNINGSIDE, Bryanston",2057
"MORNINGSIDE, Durban",4001
"MORNINGSIDE, East London",5201
"MORNINGSIDE, Maitland",7405
"MORNINGSIDE, Port Elizabeth",6025
"MORNINGSIDE, Somerset West",7130
"MORNINGSIDE, Tokai",7785
"MORNINGSTAR, Diepriver",7800
"MORNINGSTAR, Durbanville",7550
MOROCCO - Casablanca,Z008
MOROCCO - Other Areas,Z008
"MOROJANENG, Dewetsdorp",9940
"MOROKA & Ext/Uit, Tshiawelo",1818
MOROKA Boxes,1860
"MOROKA NORTH, Tshiawelo",1818
"MOROKA-NOORD, Tshiawelo",1818
MOROKE,1154
MOROKWENG (Fridays Only),8614
MOROLONG,0433
"MOROTENG VILLAGE, Potgietersrus",0600
MORRISON,4226
MORTIMER (Thursday Only),5870
MORULENG,0318
"MOSELEY PARK, Pinetown",3610
"MOSELEY, Queensburgh",4093
MOSELVILLE,6232
"MOSHANA, Zeerust (Special Trip)",2865
MOSORONI,0874
MOSSEL BAY,6500
MOSSEL BAY (Serviced out of PLZ),6500
MOSSELBAAI,6500
"MOSTERTSDRIFT, Stellenbocsh",7600
"MOSTYN PARK, Honeydew",2040
MOTEBONG,2514
MOTETEMA,0473
MOTETI,0477
"MOTHERWELL, Swartkops",6210
MOTHIBISTAD,8460
"MOTHUTLUNG, Brits ( Thursday Only)",0250
MOTLHABENG,2735
MOTORTOWN,2111
MOTSEMOTSE,2282
MOTSETHABONG,9463
MOTSWEDI VILLAGE (Special Trip),2870
"MOTUS, MEADOWVIEW",A023
"MOUILLE POINT, Cape Town",8001
MOUNT AYLIFF (Tuesday & Thursday),4735
MOUNT AYLIFF Special Trip)(Tuesday & Thursday),4734
"MOUNT CROIX, Port Elizabeth/ Gqeberha",6001
MOUNT EDGECOMBE,4300
MOUNT FLETCHER (Tuesday & Thursday),4771
MOUNT FLETCHER (Tuesday & Thursday),4770
MOUNT FRERE (Serviced by ELS) (Thursday Only),5090
"MOUNT MORIAH, Durban",4091
"MOUNT PLEASANT, Hermanus",7200
"MOUNT PLEASANT, Port Elizabeth",6070
"MOUNT ROAD TOWNSHIP, Port Elizabeth/ Gqeberha",6001
"MOUNT VERNON, Durban",4094
"MOUNT VIEW, Lansdowne",7764
"MOUNT VIEW, Verulam",4340
