TOWN,PCODE
"ATHOLL GARDENS, Johannesburg",2196
"ATHOLL HEIGHTS, Westville",3630
"ATHOLL, Johannesburg",2196
"ATLANTIC HILLS, Cape Town",7441
ATLANTIS,7349
"ATLAS GARDENS, Durbanville",7550
ATLASVILLE & Ext 1,1459
ATLASVILLE Boxes,1465
ATOK,0749
"ATOOM, Nylstroom",0514
ATTERIDGEVILLE,0008
AUCKLAND PARK Boxes,2006
"AUCKLAND PARK, Johannesburg",2092
"AUDAS Est/Lgd, Somerset West",7130
"AUDIO CONNECTION, Springfield, Durban",000F
"AUGRABIES (Monday,Wednesday & Friday)",8874
"AUREUS, Randfontein",1759
AURORA,7325
"AURORA Est/Lgd, Durbanville",7550
AUSTERVILLE,4005
"AUSTERVILLE, Durban",4052
"AUSTINVILLE, Blackheath",7581
AUSTRALIA - Other Areas,Z007
AUSTRALIA - Sydney,Z006
AUSTRIA - Other Areas,Z006
AUSTRIA - Vienna,Z006
"AUTOZONE, Johannesburg",A034
"AVALANO Tsp/Dgd, Krugersdorp",1739
"AVIARY HILL, Newcastle",2940
"AVOCA HILLS, Durban North",4051
"AVOCA, Durban North",4051
"AVONDALE Est/Lgd, Parow",7500
"AVONDALE, Atlantis",7349
"AVONDSTEL, Bellville",7530
AVONTUUR  (Wednesday & Friday Only),6490
"AVONWOOD, Elsiesriver",7490
AZAADVILLE,1750
"AZALEA PARK, Despatch",6220
"AZALIA, Standerton",2430
AZERBAIJAN,Z008
"AZIATIC BAZAAR, Pretoria",0183
BAARDSKEERDERSBOS,7271
BABANANGO (Wednesday Only),3850
BABELEGI,9998
BABIRWA (Wednesday's Only),0716
"BACKENVELD, Witbank/Emalahleni",1035
BADPLAAS,1190
BADPLAAS (Wednesday & Friday Only),1190
"BAGLEYSTON, Johannesburg",2192
BAHAMAS,Z009
BAHRAIN - Manama,Z007
"BAILEYS MUCKLENEUK, Pretoria",0181
BAILLIE PARK Boxes,2526
"BAILLIE PARK, Potchefstroom",2520
BAIN'S VLEI,9338
BAIN'S VLEI,9338
BAKENBERG (Tuesdays Only),0611
"BAKENPARK, Bethlehem",9700
"BAKERTON, Payneville",1565
BAKERVILLE (Tuesday & Thursday),2742
"BAKERVILLE GARDENS, Durban",4051
"BAKERVILLE, Durban",4051
"BAKKERSHOOGTE, Somerset West",7130
"BAKKERSVILLE, Plumstead",7800
BAKONE,0746
"BAKOVEN, Cape Town",8001
"BALFOUR ( Monday, Wednesday& Friday Only)",2410
BALGOWAN,3275
BALLENGEICH ( Wednesdays Only),2942
BALLITO,4420
"BALLOT VIEW, George",6529
BALMORAL (Wednesday's Only),1037
"BALMORAL Est/Lgd, Lansdowne",7780
"BALMORAL, Queenstown/ Komani",5320
BALTIMORE (Wednesday's Only),0619
"BALVINIE, Elsiesriver",7490
BAMBOESPRUIT,2611
BAMOKGOKO,0432
"BANANA BEACH, Port Shepstone",4240
BANDELIERKOP,0800
BANGLADESH - Dhaka,Z009
BANGLADESH - Other Areas,Z009
"BANHOEK, Stellenbosch",7600
"BANKENVELD, Witbank/Emalahleni",1034
"BANTRY BAY, Cape Town",8001
BAPONG,0274
"BAPSFONTEIN, Petit",1512
"BARAGWANATH, Johannesburg",2013
